model,k,silhouette,calinski,davies,bic
KMeans,8,0.27536348597643767,73.81020130861457,1.353941838642768,
Agglomerative,8,0.27046006170256887,68.51069860052448,1.3290684217881672,
KMeans,6,0.26708408758544266,74.55752512414098,1.372286655593714,
KMeans,7,0.2634310668474643,74.17662209498643,1.3830229610756477,
Agglomerative,6,0.26306940371595705,71.30269677241944,1.333817342595515,
GaussianMixture,8,0.2554124353849593,68.65200529305761,1.3624995248306955,-18102.762922714614
Agglomerative,7,0.2542642811892516,68.93247351441106,1.3366796900492883,
KMeans,5,0.25185761192583495,77.27556555346308,1.3585024444308758,
KMeans,3,0.25180171229856874,87.87900164187538,1.429774890074172,
Agglomerative,3,0.25024389317284457,85.33792886635645,1.4570206109497315,
Agglomerative,5,0.24622486840852495,73.79575325349106,1.3942286469710954,
KMeans,4,0.24573731278271901,82.42650191213882,1.4170631823902726,
GaussianMixture,3,0.24096598695125074,85.08339972696912,1.4712744966859779,-9862.982167053633
Agglomerative,4,0.24073069945632442,78.26142178010205,1.4599137706613716,
GaussianMixture,7,0.23395085581837832,66.50226392452561,1.462013100166502,-18144.92807041311
GaussianMixture,6,0.22581752590141585,70.19179128959682,1.4955640916080493,-16223.559781203357
KMeans,2,0.21604274711798455,85.83922667355976,1.7853079514434482,
GaussianMixture,5,0.213998300840086,72.99137286326507,1.5095499807910921,-13818.517060212695
GaussianMixture,2,0.20539012597171266,81.81792362265398,1.8322827079914608,-9458.966619367957
Agglomerative,2,0.20005352249336059,77.07735685406985,1.8881773975745104,
GaussianMixture,4,0.17077698320988724,67.18015974686561,1.8004294708424298,-11949.013834227157
